System,Recall@5,Recall@10,MRR,nDCG@10,Test
Ham Mursit-Large (Baseline),0.7341,0.8206,0.5752,0.6345,Sentetik
Ham Mursit-Base (Baseline),0.6966,0.7724,0.5365,0.5934,Sentetik
Large Tur 1 (pozitif çift),0.8791,0.9324,0.7376,0.7853,Sentetik
Base Tur 1,0.8602,0.9157,0.7107,0.7608,Sentetik
Large Tur 2 v2 (EN İYİ),0.8868,0.9329,0.7575,0.8005,Sentetik
Large Tur 3,0.8817,0.9256,0.7518,0.7944,Sentetik
Base Tur 2,0.8614,0.9079,0.7186,0.765,Sentetik
FT Dense (161),0.8696,0.8758,0.7997,0.8191,Gold161
FT Dense + FT BGE Reranker (161),0.882,0.882,0.8443,0.8552,Gold161
Ham Dense (Arkadaş),0.4845,0.528,0.3969,0.4273,Gold161
BM25 (Arkadaş),0.8758,0.9068,0.7806,0.8086,Gold161
Ham Hybrid RRF (Arkadaş),0.6957,0.7888,0.593,0.6379,Gold161
FT Hybrid RRF,0.8696,0.882,0.7863,0.81,Gold161
